,id,title,weighted_rating,genre_embedding,keywords_embedding,year
10,13,Forrest Gump,8.44766176573046,"[-0.04371136 -0.58362365  0.44978547  0.82142216 -0.41216865 -0.04526232
  0.430828   -0.04392048]","[-2.4657597e-01 -4.6237043e-01  2.4142532e-01  2.6326948e-01
  5.3197198e-02 -3.6418313e-01  3.2015210e-01  8.6118795e-02
 -2.8117943e-01  1.4411217e-01  4.1662845e-01 -1.3555688e-01
  7.4561961e-02 -5.2429324e-01 -2.2279048e-02  4.5783125e-02
  1.3105178e-02 -1.6025737e-01  1.9908483e-01  5.0098580e-01
  5.5036193e-01  4.9495795e-01  4.0002915e-01 -1.4155097e-01
  4.7473591e-02  1.4422180e-01 -5.1041734e-01  1.4124283e-01
 -7.9568751e-02 -2.4139065e-01  3.8757385e-05  3.0775812e-01]",0.7698412698412689
11,671,Harry Potter and the Philosopher's Stone,7.895858949571935,"[ 0.05895565 -0.7327358   0.4517333   0.79957795 -0.24421585 -0.07475449
  0.4438942  -0.20937303]","[-0.25262105 -0.510654    0.24884269  0.33418107  0.04662737 -0.3916198
  0.32687256  0.15309489 -0.19197138  0.16082165  0.4829769  -0.1785004
  0.03785292 -0.5799607  -0.06017918  0.08530661  0.02099583 -0.22154886
  0.23244652  0.56589526  0.67983514  0.5069968   0.4443401  -0.17945386
  0.02157653  0.13574141 -0.5063738   0.09732775 -0.02806836 -0.2894949
  0.00833831  0.37996015]",0.8253968253968242
12,1726,Iron Man,7.6240891587350434,"[ 0.08778477 -0.59489363  0.36260477  0.8192935  -0.3515774  -0.07925841
  0.437438   -0.09110508]","[ 0.04427517 -0.58349735  0.24275422  0.5307152   0.2692684  -0.27865016
  0.39432096  0.22071747  0.13137642  0.0831348   0.45264384 -0.23845911
  0.03740679 -0.42993307  0.10889607 -0.06945776  0.3287736  -0.00181542
  0.2000155   0.5555509   0.91519225  0.28986356  0.50954944 -0.11061148
 -0.24045068 -0.11912228 -0.19685414 -0.16223776  0.2989844  -0.40088457
 -0.15494761  0.4793599 ]",0.8809523809523796
13,68718,Django Unchained,8.145977303346841,"[ 0.0151314  -0.39587247  0.4178806   0.6535302  -0.33582032 -0.11776096
  0.4298268  -0.00985647]","[-0.10061235 -0.42451578  0.1841364   0.19629799  0.12602508 -0.23431112
  0.24836996  0.09653677 -0.18367061  0.09636177  0.31536633 -0.13272427
  0.0856406  -0.34678218  0.05334324  0.01942111  0.02939835 -0.0189687
  0.13739088  0.40471596  0.46673462  0.30249077  0.31138012 -0.08211185
 -0.01462399  0.04618521 -0.343658   -0.010859   -0.01760406 -0.2772323
 -0.02904253  0.16978455]",0.9126984126984112
14,278,The Shawshank Redemption,8.667962318581072,"[ 0.07288322 -0.44498974  0.34074557  0.8491429  -0.42410636 -0.0914597
  0.540706   -0.05615221]","[-0.27718335 -0.47173423  0.2553817   0.2934446   0.05338373 -0.37927532
  0.34419683  0.09735601 -0.28820857  0.17712897  0.45043114 -0.1249698
  0.07009509 -0.55387473 -0.03993993  0.03983991  0.02468006 -0.18002766
  0.22707596  0.4999267   0.5539262   0.4910903   0.41054797 -0.12822819
  0.03142876  0.13782516 -0.54964477  0.14406241 -0.08882841 -0.27493736
 -0.01179099  0.3117305 ]",0.7698412698412689
15,299534,Avengers: Endgame,8.235528671552714,"[ 0.08778477 -0.5948937   0.36260474  0.8192935  -0.3515774  -0.0792584
  0.43743804 -0.09110508]","[-0.02203029 -0.6876816   0.2938942   0.511007    0.29416236 -0.34530553
  0.43098858  0.23778896 -0.03333373  0.12142975  0.5086229  -0.20440196
  0.10235915 -0.5311917   0.13878603 -0.04472269  0.2958764   0.08061796
  0.24201216  0.6076811   0.94477123  0.38989523  0.5545085  -0.12985736
 -0.22908634 -0.0961174  -0.31713158 -0.1453058   0.2338594  -0.49289784
 -0.14045246  0.43093693]",0.9682539682539666
16,603,The Matrix,8.179479529001071,"[ 0.06623789 -0.5078217   0.33380592  0.8125546  -0.39885026 -0.06266128
  0.4135636  -0.04328677]","[-2.3438066e-01 -5.2063686e-01  2.6035094e-01  3.2171923e-01
  1.2878489e-01 -3.6745226e-01  3.2648623e-01  1.2629849e-01
 -2.4958238e-01  1.7470501e-01  4.5383081e-01 -1.3847576e-01
  6.2286150e-02 -5.1789576e-01 -1.1228352e-02 -1.0202967e-03
  8.9106664e-02 -1.2135419e-01  2.4478468e-01  4.9076414e-01
  6.1591858e-01  4.2111734e-01  4.3336093e-01 -1.1114283e-01
 -8.7044509e-03  6.2344801e-02 -4.9090832e-01  5.9423637e-02
  3.0551181e-04 -3.4123671e-01 -4.7952846e-02  3.2557249e-01]",0.8095238095238084
17,597,Titanic,7.878683129599627,"[-0.04027314 -0.52233815  0.37336364  0.82283235 -0.4122642  -0.09445959
  0.43341297  0.0188867 ]","[-0.08589546 -0.45989084  0.2099883   0.19792368  0.11519364 -0.28607827
  0.2629366   0.08580182 -0.25158802  0.07148229  0.3030968  -0.12664777
  0.09627914 -0.40392092  0.08205572  0.05060927 -0.02461219 -0.01659189
  0.13153626  0.4524589   0.49240914  0.35424975  0.3352337  -0.10252339
  0.02085583  0.06226998 -0.36058503  0.00958185 -0.04992412 -0.28839698
 -0.00807107  0.16061348]",0.7936507936507926
18,475557,Joker,8.141722376525156,"[ 0.0779836  -0.49768433  0.33035287  0.802314   -0.35817346 -0.05316107
  0.5653592  -0.07053957]","[-0.10786778 -0.5484982   0.2566768   0.23857503  0.1736858  -0.30251408
  0.31579348  0.12031841 -0.24327374  0.1038461   0.37967107 -0.12887944
  0.12022199 -0.4255629   0.07900234  0.02999723  0.09998414  0.0373042
  0.14783657  0.5039231   0.58066005  0.36538202  0.37756827 -0.11984854
 -0.0399814   0.02793174 -0.415072   -0.01554138  0.00268129 -0.3633332
 -0.04934226  0.21380383]",0.9682539682539666
19,120,The Lord of the Rings: The Fellowship of the Ring,8.37142565948451,"[ 0.07918943 -0.6827927   0.4201912   0.8220768  -0.31794834 -0.08728131
  0.41137946 -0.17576118]","[-0.12239694 -0.53991616  0.2568519   0.28724903  0.15120456 -0.39047375
  0.3189058   0.1451177  -0.2605983   0.11507978  0.4085811  -0.13702571
  0.10700154 -0.5059123   0.04135054  0.06890737  0.03721973 -0.03783847
  0.18772267  0.56951123  0.64275527  0.43067297  0.4020902  -0.1274093
 -0.00551089  0.05381005 -0.4420158   0.02945209 -0.0132439  -0.348625
 -0.01906762  0.2608155 ]",0.8253968253968242
